Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Metabolic rate (W),Body mass (g),Temperature (K)
Mammalia,Carnivora,Otariidae,Arctocephalus,pusillus,South African fur seal,1276.0,1643.0,368.0,354.0,1.0,1.0,365.0,6200.0,26150.0,127551.0,,32.1,captivity,,,
Mammalia,Carnivora,Otariidae,Arctocephalus,tropicalis,Subantarctic fur seal,1539.0,,357.0,239.0,1.0,1.0,365.0,4420.0,,50000.0,,,unknown,,,
Mammalia,Carnivora,Otariidae,Callorhinus,ursinus,Northern fur seal,1095.0,2007.0,240.0,107.0,1.3,0.9,365.0,5281.0,12925.0,165500.0,0.0007,,unknown,,,
Mammalia,Carnivora,Otariidae,Eumetopias,jubatus,Steller sea lion,1780.0,2420.0,274.0,279.0,1.0,1.0,365.0,19000.0,106610.0,415000.0,,32.8,captivity,,,
Mammalia,Carnivora,Otariidae,Neophoca,cinerea,Australian sea lion,1095.0,2191.0,258.0,570.0,1.0,0.69,540.0,7075.0,59724.0,190000.0,,24.1,captivity,,,
Mammalia,Carnivora,Otariidae,Otaria,flavescens,Southern sea lion,1461.0,2191.0,357.0,365.0,1.0,1.0,365.0,12500.0,,207500.0,,29.0,captivity,,,
Mammalia,Carnivora,Otariidae,Phocarctos,hookeri,New Zealand sea lion,2030.0,2191.0,365.0,213.0,1.0,1.0,365.0,7000.0,,187580.0,,,unknown,,,
Mammalia,Carnivora,Otariidae,Zalophus,californianus,California sea lion,1095.0,1826.0,259.0,315.0,1.2,0.5,730.0,7000.0,25000.0,180000.0,,35.7,captivity,,,311.25
Mammalia,Carnivora,Phocidae,Cystophora,cristata,Hooded seal,1095.0,1826.0,240.0,7.0,1.0,1.0,365.0,18000.0,43300.0,405000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Erignathus,barbatus,Bearded seal,1712.0,2223.0,259.0,28.0,1.0,1.0,608.0,35000.0,75750.0,373000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Halichoerus,grypus,Gray seal,1460.0,1887.0,240.0,19.0,1.0,0.9,365.0,14000.0,41450.0,268000.0,,42.9,captivity,,,
Mammalia,Carnivora,Phocidae,Histriophoca,fasciata,Ribbon seal,1050.0,1324.0,274.0,25.0,1.0,1.0,365.0,10500.0,30000.0,90000.0,,,unknown,118.59,54000.0,
Mammalia,Carnivora,Phocidae,Hydrurga,leptonyx,Leopard seal,1095.0,1461.0,274.0,30.0,1.0,,365.0,30000.0,,367750.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Leptonychotes,weddellii,Weddell seal,1365.0,1642.0,304.0,40.0,1.0,,548.0,29000.0,115900.0,425000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Lobodon,carcinophaga,Crabeater seal,1461.0,1643.0,259.0,28.0,1.0,0.5,730.0,23000.0,120000.0,250000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,Northern elephant seal,1095.0,1826.0,252.0,26.0,1.0,1.0,365.0,37500.0,140315.0,1600000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Mirounga,leonina,Southern elephant seal,1059.0,1825.0,220.0,21.0,1.0,1.0,365.0,42500.0,124500.0,1400000.0,0.0008,,unknown,,,
Mammalia,Carnivora,Phocidae,Monachus,monachus,Mediterranean monk seal,1461.0,1461.0,289.0,42.0,1.0,0.5,730.0,19000.0,,275000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Monachus,schauinslandi,Hawaiian monk seal,1825.0,,335.0,35.0,1.0,0.5,465.0,17000.0,64000.0,222500.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Ommatophoca,rossii,Ross seal,1095.0,1278.0,228.0,30.0,1.0,1.0,365.0,20000.0,,177000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Pagophilus,groenlandicus,Harp seal,1637.0,1826.0,228.0,12.0,1.25,,365.0,8700.0,34580.0,180000.0,0.0012,,unknown,,,309.45
Mammalia,Carnivora,Phocidae,Phoca,largha,Spotted seal,1279.0,1643.0,319.0,24.0,1.0,,365.0,7100.0,21300.0,85000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Phoca,vitulina,Harbor seal,1095.0,1460.0,253.0,30.0,1.0,1.0,365.0,11000.0,23945.0,115000.0,0.0013,47.6,captivity,73.29,27400.0,309.85
Mammalia,Carnivora,Phocidae,Pusa,caspica,Caspian seal,2009.0,2191.0,330.0,30.0,1.0,,365.0,5000.0,,86000.0,,,unknown,,,
Mammalia,Carnivora,Phocidae,Pusa,hispida,Ringed seal,1826.0,2191.0,251.0,53.0,1.0,1.0,365.0,6000.0,14000.0,90000.0,,46.0,captivity,,,
Mammalia,Carnivora,Phocidae,Pusa,sibirica,Baikal seal,2129.0,2557.0,273.0,68.0,1.02,1.0,365.0,3000.0,66900.0,90000.0,,56.0,captivity,,,
Mammalia,Carnivora,Procyonidae,Bassaricyon,alleni,Allen's olingo,650.0,594.0,75.0,,,,,,,1235.0,,25.2,captivity,,,
Mammalia,Carnivora,Procyonidae,Bassaricyon,gabbii,Olingo,685.0,594.0,73.0,,1.0,,,55.0,,1235.0,,21.8,captivity,,,
Mammalia,Carnivora,Procyonidae,Bassariscus,astutus,Ringtail,300.0,300.0,52.0,42.0,3.0,1.0,365.0,30.0,258.7,1015.0,0.0215,19.0,captivity,,,310.75
Mammalia,Carnivora,Procyonidae,Bassariscus,sumichrasti,Cacomistle,300.0,300.0,64.0,,2.0,,,25.0,,900.0,,24.0,captivity,3.537,1280.0,311.95
Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed coati,712.0,712.0,78.0,127.0,4.17,,365.0,140.0,,3750.0,,26.4,captivity,6.733,3670.0,311.75
Mammalia,Carnivora,Procyonidae,Nasua,nasua,South american coati,730.0,730.0,73.0,86.0,4.0,,365.0,140.0,730.0,4750.0,,23.7,captivity,5.591,3924.3,309.55
Mammalia,Carnivora,Procyonidae,Potos,flavus,Kinkajou,820.0,550.0,115.0,119.0,1.0,1.0,365.0,175.0,,3000.0,0.0102,38.4,captivity,4.294,2318.0,309.25
Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,Crab-eating raccoon,365.0,365.0,63.0,,3.0,,,71.0,,6270.0,,19.0,captivity,2.588,1160.0,310.15
Mammalia,Carnivora,Procyonidae,Procyon,lotor,Common raccoon,365.0,365.0,63.0,91.0,4.0,1.0,365.0,80.0,1175.0,6000.0,0.0153,21.0,captivity,10.428,4842.2,311.15
Mammalia,Carnivora,Ursidae,Ailuropoda,melanoleuca,Giant panda,2192.0,2192.0,48.0,,1.5,0.7,548.0,110.0,,117500.0,0.0028,36.8,captivity,,,
Mammalia,Carnivora,Ursidae,Helarctos,malayanus,Sun bear,2372.0,,95.0,90.0,1.0,,,325.0,,46000.0,,35.9,captivity,,,311.25
Mammalia,Carnivora,Ursidae,Melursus,ursinus,Sloth bear,1095.0,1095.0,198.0,76.0,1.5,,1095.0,400.0,,100000.0,,33.3,captivity,47.064,66957.0,
Mammalia,Carnivora,Ursidae,Tremarctos,ornatus,Spectacled bear,1461.0,1461.0,228.0,90.0,1.5,,,320.0,,109250.0,,39.0,captivity,,,
Mammalia,Carnivora,Ursidae,Ursus,americanus,American black bear,1278.0,1278.0,70.0,198.0,2.0,0.4,730.0,277.5,14050.0,154250.0,0.0029,34.0,captivity,,,
Mammalia,Carnivora,Ursidae,Ursus,arctos,Brown bear,1313.0,1313.0,103.0,213.0,2.0,0.4,852.0,510.0,26000.0,277500.0,,40.0,captivity,,,310.45
Mammalia,Carnivora,Ursidae,Ursus,maritimus,Polar bear,1734.0,1734.0,65.0,303.0,2.0,0.4,750.0,665.0,27000.0,475000.0,0.0022,43.8,captivity,,,309.95
Mammalia,Carnivora,Ursidae,Ursus,thibetanus,Asiatic black bear,1095.0,1095.0,228.0,99.0,2.0,,365.0,463.0,,103750.0,,39.2,captivity,,,310.65
Mammalia,Carnivora,Viverridae,Arctictis,binturong,Binturong,925.0,840.0,92.0,79.0,2.0,2.0,348.0,318.0,2100.0,12250.0,,27.0,captivity,12.747,14280.0,309.85
Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Small-toothed palm civet,1095.0,,45.0,61.0,2.5,2.0,182.0,,,2250.0,,16.1,captivity,3.085,2010.0,309.35
Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's palm civet,,,61.0,,2.0,1.5,,81.5,,3250.0,,,unknown,,,
Mammalia,Carnivora,Viverridae,Civettictis,civetta,African civet,365.0,213.0,65.0,120.0,2.5,2.2,221.0,380.5,1514.0,13666.7,,28.0,captivity,,,
Mammalia,Carnivora,Viverridae,Cynogale,bennettii,Otter civet,,,,,2.0,,,,,4000.0,,,unknown,,,
Mammalia,Carnivora,Viverridae,Genetta,abyssinica,Abyssinian genet,,,,,,,,,,1650.0,,,unknown,,,
Mammalia,Carnivora,Viverridae,Genetta,genetta,Small-spotted genet,1479.0,,78.0,62.0,2.0,2.0,182.0,77.75,,1866.7,0.0059,22.7,captivity,,,
Mammalia,Carnivora,Viverridae,Genetta,maculata,Panther genet,,,,,2.3,,,,,2225.0,,20.0,captivity,,,
Mammalia,Carnivora,Viverridae,Genetta,pardina,Pardine genet,1461.0,,71.0,,2.5,,,71.5,,2000.0,,,unknown,,,
Mammalia,Carnivora,Viverridae,Genetta,servalina,Servaline genet,,,,,1.5,,,,,1055.0,,,unknown,,,
Mammalia,Carnivora,Viverridae,Genetta,tigrina,Large-spotted genet,1461.0,,70.0,59.0,2.5,2.0,304.0,71.5,,1820.0,,21.3,captivity,4.189,1699.0,310.15
Mammalia,Carnivora,Viverridae,Hemigalus,derbyanus,Banded palm civet,,,,71.0,2.0,,,125.0,,2400.0,,16.0,captivity,,,
Mammalia,Carnivora,Viverridae,Paguma,larvata,Masked palm civet,,,,,2.3,2.0,182.0,,,4300.0,,27.4,captivity,,,
Mammalia,Carnivora,Viverridae,Paradoxurus,hermaphroditus,Asian palm civet,341.0,,60.0,,3.4,2.0,182.0,88.65,,3100.0,0.0087,24.5,captivity,5.534,3282.6,309.65
Mammalia,Carnivora,Viverridae,Prionodon,linsang,Banded linsang,,,,,2.25,,182.0,40.0,,700.0,,,unknown,,,
Mammalia,Carnivora,Viverridae,Viverra,civettina,Malabar civet,365.0,213.0,68.0,,,,,,,12061.0,,15.4,captivity,,,
Mammalia,Carnivora,Viverridae,Viverra,tangalunga,Malayan civet,,,,,2.0,,,,,7350.0,,15.0,captivity,,,
Mammalia,Carnivora,Viverridae,Viverra,zibetha,Large indian civet,,,80.0,30.0,3.0,2.0,182.0,,,10000.0,,21.7,captivity,,,
Mammalia,Carnivora,Viverridae,Viverricula,indica,Small Indian civet,,,,129.0,3.88,,,,,3000.0,,,unknown,,,
Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,8212.0,8212.0,396.0,,1.0,0.3,1642.0,900000.0,,100000000.0,,211.0,wild,,,
Mammalia,Cetacea,Balaenidae,Eubalaena,australis,Southern right whale,3285.0,,365.0,,1.0,0.3,1214.0,910000.0,,45000000.0,,70.0,wild,,,
Mammalia,Cetacea,Balaenidae,Eubalaena,glacialis,North atlantic right whale,2920.0,2920.0,350.0,213.0,1.0,0.29,1445.0,794328.0,,23000000.0,,67.0,wild,,,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,Common minke whale,2740.0,2740.0,312.0,183.0,1.0,1.0,470.0,320000.0,,7500000.0,,50.0,wild,,,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,borealis,Sei whale,3652.0,3652.0,345.0,266.0,1.0,0.5,730.0,680000.0,,20000000.0,,74.0,wild,,,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,edeni,Bryde's whale,3104.0,3104.0,376.0,274.0,1.0,0.5,,1000000.0,,16000000.0,,72.0,wild,,,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,musculus,Blue whale,1827.0,1827.0,350.0,182.0,1.0,0.4,914.0,2000000.0,17000000.0,136000000.0,,110.0,wild,,,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,Fin whale,2701.0,2864.0,342.0,183.0,1.0,0.4,608.0,1800000.0,,70000000.0,,114.0,wild,,,
Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae,Humpback whale,1643.0,1643.0,342.0,,1.0,0.5,657.0,1350000.0,,30000000.0,,95.0,wild,,,309.15
Mammalia,Cetacea,Delphinidae,Cephalorhynchus,commersonii,Commerson's dolphin,2008.0,2008.0,350.0,,1.0,,,6600.0,,50000.0,,,unknown,,,
Mammalia,Cetacea,Delphinidae,Cephalorhynchus,hectori,Hector's dolphin,2829.0,2829.0,335.0,,1.0,0.42,,,,56000.0,,,unknown,,,
Mammalia,Cetacea,Delphinidae,Delphinus,delphis,Short-beaked saddleback dolphin,1754.0,1583.0,301.0,345.0,1.0,0.4,548.0,7000.0,40000.0,80000.0,,25.0,wild,,,
Mammalia,Cetacea,Delphinidae,Globicephala,macrorhynchus,Short-finned pilot whale,3470.0,5332.0,452.0,730.0,1.0,0.2,1095.0,60000.0,,2200000.0,,63.0,wild,,,
Mammalia,Cetacea,Delphinidae,Globicephala,melas,Long-finned pilot whale,2470.0,4380.0,450.0,812.0,1.0,0.2,,109667.0,,1060000.0,,60.0,captivity,,,
Mammalia,Cetacea,Delphinidae,Grampus,griseus,Risso's dolphin,3652.0,3652.0,365.0,,1.0,,,,,425000.0,,42.5,captivity,,,
Mammalia,Cetacea,Delphinidae,Lagenodelphis,hosei,Fraser's dolphin,2646.0,,335.0,,1.0,,,,,164000.0,,,unknown,,,
Mammalia,Cetacea,Delphinidae,Lagenorhynchus,acutus,Atlantic white-sided dolphin,2231.0,,316.0,548.0,1.25,0.4,,24000.0,,208000.0,,27.0,wild,,,
Mammalia,Cetacea,Delphinidae,Lagenorhynchus,obliquidens,Pacific white-sided dolphin,3832.0,,320.0,,1.0,,,14000.0,,103000.0,,46.0,captivity,,,
Mammalia,Cetacea,Delphinidae,Orcaella,brevirostris,Irrawaddy dolphin,1826.0,1826.0,426.0,471.0,1.0,,,12300.0,45000.0,190000.0,,30.0,wild,,,
Mammalia,Cetacea,Delphinidae,Orcinus,orca,Killer whale,3780.0,4930.0,435.0,471.0,1.0,0.2,1096.0,180000.0,,3987500.0,,90.0,wild,,,309.15
Mammalia,Cetacea,Delphinidae,Peponocephala,electra,Melon-headed whale,4290.0,2465.0,365.0,,1.0,,,,,206000.0,,47.0,wild,,,
Mammalia,Cetacea,Delphinidae,Pseudorca,crassidens,False killer whale,3468.0,6756.0,451.0,730.0,1.0,0.1,1096.0,,,748000.0,,62.5,captivity,,,309.75
Mammalia,Cetacea,Delphinidae,Sotalia,fluviatilis,"Tucuxi, or River dolphin",2192.0,2192.0,325.0,,1.0,,,,,46666.7,,,unknown,,,
Mammalia,Cetacea,Delphinidae,Sousa,chinensis,Indo-Pacific humpbacked dolphin,3470.0,4566.0,365.0,150.0,1.0,,,,,280000.0,,,unknown,,,
Mammalia,Cetacea,Delphinidae,Stenella,attenuata,Pantropical spotted dolphin,2983.0,3956.0,345.0,543.0,1.0,0.3,1123.0,10000.0,,112500.0,,46.0,wild,,,
Mammalia,Cetacea,Delphinidae,Stenella,coeruleoalba,Striped dolphin,2834.0,3025.0,350.0,,1.5,0.3,1253.0,10000.0,,112500.0,,57.5,wild,,,
Mammalia,Cetacea,Delphinidae,Steno,bredanensis,Rough-toothed dolphin,3650.0,2739.0,,,,,,,,114000.0,,32.0,wild,,,
Mammalia,Cetacea,Delphinidae,Tursiops,aduncus,Indo-pacific bottlenose dolphin,,,365.0,,,,1095.0,9829.0,,,,,unknown,,,
Mammalia,Cetacea,Delphinidae,Tursiops,truncatus,Bottlenosed dolphin,2831.0,3689.0,365.0,,1.0,0.5,858.0,19350.0,,200000.0,,51.6,captivity,,,
Mammalia,Cetacea,Eschrichtiidae,Eschrichtius,robustus,Gray whale,2922.0,2922.0,395.0,180.0,1.0,0.5,730.0,500000.0,,28500000.0,,77.0,wild,,,
Mammalia,Cetacea,Hyperoodontidae,Berardius,bairdii,Baird's beaked whale,4383.0,2922.0,517.0,,1.0,0.3,,,,11380000.0,,84.0,wild,,,
Mammalia,Cetacea,Hyperoodontidae,Hyperoodon,ampullatus,Northern bottlenose whale,3652.0,3287.0,365.0,365.0,1.0,1.0,365.0,,,6500000.0,,37.0,wild,,,
Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,densirostris,Blainville's beaked whale,3287.0,3287.0,,,,,,,,1088000.0,,,unknown,,,
Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,europaeus,Gervais's beaked whale,,,,,,,,,,5600000.0,,48.0,wild,,,
Mammalia,Cetacea,Hyperoodontidae,Ziphius,cavirostris,Cuvier's beaked whale,,,365.0,,1.0,,,,,2701000.0,,62.0,wild,,,
Mammalia,Cetacea,Iniidae,Inia,geoffrensis,"Amazon river dolphin, or Amazon dolphin",1826.0,1826.0,287.0,,1.0,,,6800.0,,84000.0,,31.3,captivity,,,
Mammalia,Cetacea,Kogiidae,Kogia,breviceps,Pygmy sperm whale,,,335.0,,1.0,1.0,,82000.0,,424600.0,,17.0,wild,,,
Mammalia,Cetacea,Lipotidae,Lipotes,vexillifer,"Yangzte river dolphin, or Baiji",2920.0,,319.0,,1.0,0.5,730.0,,,83500.0,,24.0,captivity,,,
Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,Beluga,1644.0,2283.0,416.0,,1.0,0.3,1004.0,66000.0,,1430000.0,,40.0,captivity,,,308.95
Mammalia,Cetacea,Monodontidae,Monodon,monoceros,Narwhal,2191.0,2922.0,450.0,,1.0,0.3,914.0,80000.0,,1250000.0,,50.0,wild,,,
Mammalia,Cetacea,Phocoenidae,Neophocaena,phocaenoides,Finless porpoise,2190.0,1460.0,320.0,320.0,1.0,0.5,730.0,7000.0,24500.0,32500.0,,33.0,captivity,,,
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbor porpoise,1055.0,1461.0,320.0,243.0,1.0,1.0,365.0,7000.0,,52500.0,0.0088,20.4,captivity,107.675,28500.0,
Mammalia,Cetacea,Phocoenidae,Phocoenoides,dalli,Dall's porpoise,1826.0,2375.0,347.0,302.0,1.0,0.7,1096.0,,,120000.0,,22.0,wild,,,
Mammalia,Cetacea,Physeteridae,Physeter,macrocephalus,Sperm whale,2922.0,3650.0,502.0,560.0,1.0,0.2,1259.0,1000000.0,,28500000.0,,77.0,wild,,,
Mammalia,Cetacea,Platanistidae,Platanista,gangetica,Ganges dolphin,3652.0,3652.0,345.0,365.0,1.0,,,,,70000.0,,,unknown,,,
Mammalia,Cetacea,Pontoporiidae,Pontoporia,blainvillei,Franciscana,912.0,912.0,319.0,319.0,1.0,0.5,730.0,7900.0,,40500.0,,,unknown,,,
Mammalia,Chiroptera,Emballonuridae,Saccopteryx,bilineata,Greater sac-winged bat,365.0,,,60.0,1.0,1.0,,3.49,6.8,7.9,,6.0,wild,0.081,7.8,308.65
Mammalia,Chiroptera,Emballonuridae,Taphozous,georgianus,Sharp-nosed tomb bat,278.0,609.0,99.0,,1.0,1.0,,4.22,,24.43,,4.0,wild,,,
Mammalia,Chiroptera,Emballonuridae,Taphozous,hilli,Hill's tomb bat,,,,,,,,,,21.99,,8.8,wild,,,
Mammalia,Chiroptera,Hipposideridae,Hipposideros,fulvus,Fulvus roundleaf bat,563.0,563.0,158.0,,1.0,1.0,,2.34,,7.0,,13.0,wild,,,
Mammalia,Chiroptera,Megadermatidae,Macroderma,gigas,Australian false vampire bat,365.0,365.0,91.0,,1.0,1.0,,21.6,,150.0,,22.6,captivity,0.639,126.0,310.15
Mammalia,Chiroptera,Megadermatidae,Megaderma,lyra,Greater false vampire bat,540.0,450.0,150.0,,1.0,1.0,,7.5,,38.6,,14.0,wild,,,
Mammalia,Chiroptera,Miniopteridae,Miniopterus,australis,Little long-fingered bat,527.0,639.0,180.0,,1.0,1.0,,,,7.4,,,unknown,,,
Mammalia,Chiroptera,Miniopteridae,Miniopterus,schreibersii,Schreibers's long-fingered bat,577.0,730.0,100.0,,1.0,1.0,365.0,2.8,,13.0,0.0462,22.0,wild,0.145,10.9,310.85
Mammalia,Chiroptera,Molossidae,Molossus,molossus,Pallas's mastiff bat,103.0,,108.0,,1.0,2.0,,3.49,,14.0,,5.6,wild,,,
Mammalia,Chiroptera,Molossidae,Mormopterus,planiceps,Southern free-tailed bat,377.0,,120.0,,1.0,1.0,,2.06,,8.8,,,unknown,,,
Mammalia,Chiroptera,Molossidae,Tadarida,brasiliensis,Brazilian free-tailed bat,273.0,547.0,78.0,,1.0,1.0,365.0,2.8,,12.5,0.112,12.0,captivity,0.117,13.3,309.15
Mammalia,Chiroptera,Molossidae,Tadarida,teniotis,European free-tailed bat,365.0,,46.0,,1.0,,,,,35.0,,13.0,wild,,,308.25
Mammalia,Chiroptera,Mystacinidae,Mystacina,tuberculata,New Zealand lesser short-tailed bat,,,,,1.0,1.0,,3.2,,23.5,,7.6,captivity,,,
Mammalia,Chiroptera,Noctilionidae,Noctilio,leporinus,Greater bulldog bat,365.0,365.0,35.0,,1.0,1.0,,,,50.0,,11.8,captivity,0.4,61.0,306.95
Mammalia,Chiroptera,Phyllostomidae,Anoura,geoffroyi,Geoffroy's tailless bat,,,120.0,,1.0,1.0,,5.1,,15.2,,10.0,captivity,,,
Mammalia,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Jamaican fruit-eating bat,289.0,289.0,76.0,,1.0,2.0,,5.9,,42.2,,19.2,captivity,0.359,46.1,309.55
Mammalia,Chiroptera,Phyllostomidae,Artibeus,lituratus,Great fruit-eating bat,288.0,365.0,106.0,,1.0,2.0,220.0,10.5,,65.0,,,unknown,0.602,70.1,310.45
Mammalia,Chiroptera,Phyllostomidae,Carollia,perspicillata,Seba's short-tailed bat,258.0,258.0,95.0,,1.0,2.0,159.0,5.0,,15.0,0.0347,17.0,captivity,0.24,14.9,309.55
Mammalia,Chiroptera,Phyllostomidae,Desmodus,rotundus,Vampire bat,285.0,285.0,189.0,274.0,1.0,2.0,289.0,8.0,,33.2,0.0294,29.2,captivity,0.194,29.4,308.15
Mammalia,Chiroptera,Phyllostomidae,Diphylla,ecaudata,Hairy-legged vampire bat,,,213.0,,1.0,,,4.8,,28.0,,8.0,wild,,,
Mammalia,Chiroptera,Phyllostomidae,Glossophaga,soricina,Pallas's long-tongued bat,,,106.0,61.0,1.0,2.0,,,,10.0,,11.0,captivity,0.164,9.6,308.65
Mammalia,Chiroptera,Phyllostomidae,Leptonycteris,curasoae,Southern long-nosed bat,,,122.0,,1.0,1.0,,,,25.0,,10.1,wild,,,
Mammalia,Chiroptera,Phyllostomidae,Macrotus,californicus,California leaf-nosed bat,120.0,365.0,270.0,,1.0,,,2.52,,11.6,,17.0,captivity,0.082,11.7,308.15
Mammalia,Chiroptera,Phyllostomidae,Macrotus,waterhousii,Waterhouse's leaf-nosed bat,91.0,,244.0,,1.0,,,0.59,,16.0,,10.4,wild,,,
Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,discolor,Pale spear-nosed bat,,,105.0,,1.0,,,7.0,,43.4,,9.0,wild,0.267,33.5,307.75
Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Greater spear-nosed bat,730.0,730.0,120.0,,1.0,1.0,,15.9,,81.0,,18.0,wild,0.559,84.2,307.85
Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,lineatus,White-lined broad-nosed bat,,,106.0,,1.0,2.0,,8.3,,22.0,,13.0,captivity,0.25,21.9,309.55
Mammalia,Chiroptera,Phyllostomidae,Sturnira,lilium,Little yellow-shouldered bat,289.0,289.0,105.0,,1.0,2.0,,5.2,,20.0,,12.0,captivity,0.237,21.4,309.55
Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Lesser short-nosed fruit bat,213.0,213.0,112.0,,1.0,2.0,,6.2,,45.0,,10.1,captivity,0.262,37.2,309.65
Mammalia,Chiroptera,Pteropodidae,Cynopterus,sphinx,Greater short-nosed fruit bat,150.0,525.0,120.0,42.0,1.2,2.0,,11.0,25.0,75.0,,10.0,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Dobsonia,moluccensis,Moluccan naked-backed fruit bat,715.0,,150.0,180.0,1.0,1.0,,55.0,,430.0,,12.3,captivity,1.411,312.4,309.95
Mammalia,Chiroptera,Pteropodidae,Eidolon,helvum,Straw-colored fruit bat,,,275.0,65.0,1.0,1.0,365.0,50.0,135.0,306.25,,21.8,captivity,,,307.65
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Gambian epauletted fruit bat,,,150.0,,1.0,1.5,,10.0,,80.0,,7.8,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Wahlberg's epauletted fruit bat,244.0,,165.0,,1.0,2.0,,,,80.0,,10.1,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Philippine pygmy fruit bat,120.0,315.0,90.0,70.0,1.0,1.0,,2.74,,18.0,,10.0,unknown,,,
Mammalia,Chiroptera,Pteropodidae,Hypsignathus,monstrosus,Hammer-headed fruit bat,180.0,420.0,120.0,,1.3,2.0,,40.0,,330.0,,,unknown,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,alecto,Black flying fox,,,,,1.2,1.0,,,,672.1,,20.3,wild,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,conspicillatus,Spectacled flying fox,755.0,,180.0,,1.0,,,,,775.7,,,unknown,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,dasymallus,Ryukyu flying fox,,,,,1.0,,,,,435.0,,24.0,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,Indian flying fox,365.0,365.0,145.0,120.0,1.0,1.0,365.0,45.0,,1175.0,,44.0,captivity,1.622,562.2,309.85
Mammalia,Chiroptera,Pteropodidae,Pteropus,hypomelanus,Variable flying fox,378.0,365.0,156.0,,1.0,1.0,,,,450.0,,20.3,captivity,1.618,520.8,308.85
Mammalia,Chiroptera,Pteropodidae,Pteropus,livingstonii,Comoro black flying fox,,,152.0,,1.0,,,137.0,,696.5,,15.0,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,lylei,Lyle's flying fox,,,,,,,,,,316.7,,20.4,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,niger,Greater mascarene flying fox,,,,,1.0,,,,,456.3,,19.4,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,poliocephalus,Gray-headed flying fox,540.0,540.0,190.0,,1.0,1.0,,80.0,,675.0,,23.6,captivity,1.768,598.0,309.65
Mammalia,Chiroptera,Pteropodidae,Pteropus,pselaphon,Bonin flying fox,,,,,1.0,,,,,321.49,,16.7,captivity,,,
Mammalia,Chiroptera,Pteropodidae,Pteropus,pumilus,Little golden-mantled flying fox,,,,,,2.0,,,,200.0,,17.2,captivity,0.705,194.2,309.25
Mammalia,Chiroptera,Pteropodidae,Pteropus,rodricensis,Rodriguez flying fox,755.0,,198.0,,1.0,1.0,,45.0,,350.0,,28.0,captivity,0.753,254.5,309.65
Mammalia,Chiroptera,Pteropodidae,Pteropus,scapulatus,Little red flying fox,540.0,540.0,,,1.0,1.0,,,,300.0,,15.8,captivity,1.353,362.0,310.15
Mammalia,Chiroptera,Pteropodidae,Pteropus,vampyrus,Large flying fox,,,,,1.0,1.0,,,,872.0,,20.9,captivity,4.486,1024.3,310.05
